"","hhid","cr_surveyed","af_surveyed","sample_purposely","loc_Camp","loc_Host","loc_ITS","gov_Amman","gov_Irbid","gov_Jerash","gov_Mafraq","gov_Zarqa","Azraq","Zaatari","gov_Gaza","cr_female_CLEAN","cr_baseline_age_CLEAN","age_corrected","cr_nationality","af_nationality","af_baseline_role"
"224",113543050,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,15,0,2,2,1
"225",113543058,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,15,0,2,2,1
"226",113543061,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,17,0,NA,2,1
"227",113544001,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,12,1,2,2,1
"228",113544003,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,15,0,2,2,1
"229",113544007,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,16,0,2,2,1
"230",113544022,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,15,0,2,2,1
"231",113544027,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,16,0,2,2,1
"232",113544030,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,16,0,2,2,1
"233",113545039,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,11,0,2,2,3
"234",113546004,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,17,0,2,2,1
"235",113671205,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,13,0,2,2,1
"236",113672209,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,12,0,2,2,3
"237",113672245,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,12,0,2,2,1
"238",113672258,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,10,1,2,2,1
"239",114551052,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,12,0,2,2,1
"240",114551062,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,12,0,2,2,1
"241",114551079,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,13,0,2,2,1
"242",114551120,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,12,0,2,2,1
"243",114551125,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,13,0,2,2,1
"244",114551131,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,12,0,2,2,1
"245",114551150,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,11,0,2,2,1
"246",114552011,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,11,0,2,2,1
"247",114552062,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,12,0,2,2,1
"248",114552074,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,11,0,2,2,1
"249",114553007,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,15,1,2,2,1
"250",114553043,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,15,0,2,2,1
"251",114553050,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,16,0,2,2,1
"252",114553081,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,15,0,2,2,1
